Area,BHK,Bathroom,Furnishing,Parking,Price,Transaction,Type,Price Per_Sqft
976,2,2,Furnished,1,24900000,New_Property,Apartment,25512
1050,3,2,Unfurnished,1,3700000,New_Property,Apartment,3524
2700,4,3,Semi-Furnished,1,60000000,New_Property,Builder_Floor,22222
1500,3,2,Unfurnished,1,17400000,Resale,Apartment,22222
2900,5,5,Furnished,1,51000000,New_Property,Builder_Floor,22222
5025,5,6,Unfurnished,4,170000000,New_Property,Builder_Floor,22222
1000,3,2,Semi-Furnished,1,5510000,New_Property,Builder_Floor,22222
1135,3,3,Furnished,2,25000000,Resale,Apartment,22222
2306,3,3,Unfurnished,1,57000000,New_Property,Apartment,24718
850,2,2,Semi-Furnished,1,2940000,New_Property,Apartment,24718
1200,3,3,Semi-Furnished,1,15500000,Resale,Apartment,24718
1700,3,2,Semi-Furnished,1,17200000,Resale,Apartment,24718
1800,4,3,Semi-Furnished,2,55000000,Resale,Builder_Floor,30556
1100,2,2,Semi-Furnished,1,15000000,Resale,Apartment,30556
22050,4,4,Semi-Furnished,2,51000000,New_Property,Builder_Floor,30556
1550,4,3,Semi-Furnished,1,13000000,New_Property,Builder_Floor,30556
1600,3,3,Semi-Furnished,1,30000000,New_Property,Builder_Floor,18750
700,2,2,Semi-Furnished,1,2400000,New_Property,Builder_Floor,18750
45,4,3,Unfurnished,1,5500000,New_Property,Builder_Floor,18750
3510,4,4,Semi-Furnished,2,45000000,Resale,Builder_Floor,
4500,4,4,Semi-Furnished,2,60000000,New_Property,Builder_Floor,120000
1800,4,4,Semi-Furnished,2,65000000,New_Property,Builder_Floor,120000
6000,5,5,Semi-Furnished,9,220000000,New_Property,Builder_Floor,120000
4300,4,4,Unfurnished,2,60000000,Resale,Builder_Floor,120000
1700,3,3,Semi-Furnished,2,38500000,New_Property,Builder_Floor,120000
2500,3,3,Semi-Furnished,2,50000000,Resale,Apartment,120000
4500,4,4,Semi-Furnished,2,75000000,New_Property,Builder_Floor,120000
2450,4,4,Furnished,2,70000000,New_Property,Builder_Floor,120000
10350,4,7,Semi-Furnished,3,160000000,New_Property,Apartment,15459
4800,3,4,Semi-Furnished,1,85000000,Resale,Builder_Floor,15459
1600,3,3,Semi-Furnished,2,40000000,Resale,Apartment,15459
3500,4,4,Unfurnished,2,90000000,Resale,Builder_Floor,15459
2100,4,5,Semi-Furnished,2,56000000,New_Property,Builder_Floor,15459
4200,5,5,Semi-Furnished,2,135500000,New_Property,Builder_Floor,15459
1500,3,3,Semi-Furnished,2,60000000,New_Property,Builder_Floor,15459
8150,4,5,Unfurnished,4,170000000,New_Property,Builder_Floor,15459
2200,4,4,Semi-Furnished,2,50000000,Resale,Builder_Floor,15459
3500,4,5,Semi-Furnished,2,58000000,New_Property,Builder_Floor,15459
2070,3,3,Semi-Furnished,2,37500000,New_Property,Builder_Floor,15459
3500,3,3,Unfurnished,1,45000000,Resale,Builder_Floor,15459
2000,4,4,Semi-Furnished,3,70000000,New_Property,Builder_Floor,15459
2800,6,4,Semi-Furnished,2,29500000,Resale,Apartment,15459
2550,4,4,Unfurnished,1,60000000,Resale,Builder_Floor,23529
4500,4,4,Semi-Furnished,2,70000000,Resale,Builder_Floor,23529
1400,3,3,Semi-Furnished,2,50000000,New_Property,Builder_Floor,23529
2800,4,5,Semi-Furnished,2,75000000,New_Property,Builder_Floor,23529
2700,4,4,Semi-Furnished,2,52500000,New_Property,Builder_Floor,23529
4500,4,4,Semi-Furnished,2,55000000,Resale,Builder_Floor,23529
7200,4,4,Semi-Furnished,2,120000000,Resale,Builder_Floor,16667
2799,4,4,Semi-Furnished,,65000000,New_Property,Builder_Floor,
2650,4,4,Unfurnished,2,75000000,New_Property,Builder_Floor,
2200,4,4,Semi-Furnished,2,47500000,New_Property,Builder_Floor,
3500,5,5,Semi-Furnished,1,70000000,New_Property,Builder_Floor,20000
2200,4,4,Semi-Furnished,2,47500000,New_Property,Builder_Floor,20000
2200,4,4,Semi-Furnished,1,40000000,New_Property,Builder_Floor,20000
3500,4,4,Semi-Furnished,3,85000000,New_Property,Builder_Floor,20000
1440,3,3,Semi-Furnished,3,26000000,New_Property,Builder_Floor,20000
3150,4,4,Semi-Furnished,3,35000000,Resale,Builder_Floor,11111
900,2,2,Semi-Furnished,3,20000000,Resale,Builder_Floor,11111
3690,4,5,Semi-Furnished,3,79000000,New_Property,Builder_Floor,21409
1200,3,2,Semi-Furnished,3,17000000,Resale,Builder_Floor,21409
4500,4,4,Semi-Furnished,2,47500000,Resale,Builder_Floor,95000
2799,4,4,Semi-Furnished,2,43000000,New_Property,Builder_Floor,15363
1350,3,3,Unfurnished,1,26000000,New_Property,Builder_Floor,19259
1200,3,3,Unfurnished,1,25000000,New_Property,Builder_Floor,20833
2177,4,5,Semi-Furnished,2,51000000,New_Property,Builder_Floor,20833
1500,3,3,Semi-Furnished,2,40000000,New_Property,Builder_Floor,20833
1600,3,3,Unfurnished,1,22500000,Resale,Builder_Floor,20833
4500,4,4,Semi-Furnished,1,70000000,New_Property,Builder_Floor,20833
2150,4,4,Unfurnished,2,45000000,New_Property,Builder_Floor,20930
2107,4,4,Semi-Furnished,2,51100000,New_Property,Apartment,20930
1150,3,3,Semi-Furnished,1,25500000,New_Property,Builder_Floor,20930
1240,3,3,Unfurnished,2,26500000,New_Property,Builder_Floor,20930
1000,2,2,Unfurnished,1,15000000,Resale,Builder_Floor,20930
4500,4,4,Semi-Furnished,2,55000000,Resale,Builder_Floor,20930
1150,3,3,Semi-Furnished,2,26000000,New_Property,Builder_Floor,20930
2000,4,4,Semi-Furnished,2,38000000,Resale,Builder_Floor,20930
4500,4,5,Semi-Furnished,2,72500000,Resale,Builder_Floor,20930
3000,4,5,Semi-Furnished,4,65000000,New_Property,Builder_Floor,20930
700,2,2,Unfurnished,,4600000,New_Property,Builder_Floor,
750,2,2,Semi-Furnished,,9200000,Resale,Builder_Floor,
1350,4,3,Unfurnished,2,9500000,Resale,Apartment,
900,2,2,Semi-Furnished,1,4500000,Resale,Builder_Floor,
970,3,2,Semi-Furnished,1,6500000,Resale,Builder_Floor,
1000,3,2,Furnished,1,5650000,Resale,Builder_Floor,
1425,3,3,Semi-Furnished,1,9300000,Resale,Builder_Floor,6526
440,2,2,Unfurnished,1,2700000,Resale,Apartment,6526
1017,2,2,Furnished,1,6500000,New_Property,Builder_Floor,6526
650,2,2,Semi-Furnished,1,5800000,Resale,Apartment,6526
950,3,2,Semi-Furnished,1,5500000,Resale,Apartment,6526
810,3,2,Semi-Furnished,1,6000000,Resale,Builder_Floor,6526
750,2,2,Unfurnished,1,4500000,Resale,Builder_Floor,6526
990,2,2,Semi-Furnished,2,4100000,Resale,Builder_Floor,6526
800,3,2,Semi-Furnished,2,3800000,Resale,Builder_Floor,6526
675,2,1,Unfurnished,1,3300000,Resale,Apartment,6526
558,2,1,Unfurnished,1,2900000,New_Property,Builder_Floor,6526
445,2,1,Unfurnished,1,2000000,Resale,Builder_Floor,6526
360,2,1,Unfurnished,1,1550000,New_Property,Builder_Floor,6526
1350,4,3,Semi-Furnished,1,11300000,New_Property,Builder_Floor,6526
850,3,2,Semi-Furnished,1,4500000,Resale,Builder_Floor,6526
846,2,1,Unfurnished,1,3300000,New_Property,Apartment,3901
1300,4,3,Furnished,1,11500000,New_Property,Builder_Floor,3901
900,3,2,Semi-Furnished,1,6000000,New_Property,Builder_Floor,3901
1050,3,2,Semi-Furnished,1,9000000,Resale,Apartment,3901
850,2,2,Furnished,1,4500000,Resale,Builder_Floor,3901
1650,4,3,Furnished,1,14000000,New_Property,Apartment,3901
1150,2,2,Semi-Furnished,1,7300000,Resale,Apartment,6347
495.1394,1,1,Furnished,1,1900000,Resale,Builder_Floor,41304
1053,3,2,Furnished,4,7000000,Resale,Builder_Floor,41304
810,3,2,Semi-Furnished,1,6000000,Resale,Builder_Floor,
750,1,2,Semi-Furnished,1,6400000,Resale,Builder_Floor,
540,2,1,Furnished,1,2700000,New_Property,Apartment,5000
747,2,2,Furnished,1,6500000,Resale,Builder_Floor,8701
720,2,1,Unfurnished,1,4000000,Resale,Builder_Floor,5556
376.7365,1,1,Semi-Furnished,1,3000000,New_Property,Apartment,85715
1125,2,2,Unfurnished,1,5000000,Resale,Builder_Floor,4444
713,2,2,Semi-Furnished,1,6000000,New_Property,Builder_Floor,4444
360,1,1,Unfurnished,1,2500000,Resale,Builder_Floor,6944
